Title,Genres
Elden Ring,Adventure| RPG
The Legend of Zelda: Breath of the Wild,Adventure| Puzzle
Hades,Adventure| Brawler| Indie| RPG
Hollow Knight,Adventure| Indie| Platform
Undertale,Adventure| Indie| RPG| Turn Based Strategy
Minecraft,Adventure| Simulator
Omori,Adventure| Indie| RPG| Turn Based Strategy
The Legend of Zelda: Tears of the Kingdom,Adventure
Resident Evil 4,Adventure| Puzzle| Shooter
NieR: Automata,Brawler| RPG
Persona 5 Royal,Adventure| RPG| Turn Based Strategy
Among Us,Indie| Strategy
Metroid Dread,Adventure| Platform
Portal 2,Adventure| Platform| Puzzle| Shooter
God of War,Adventure| Brawler| RPG
Hi-Fi Rush,Adventure| Brawler| Music| Platform
Celeste,Adventure| Indie| Platform
Bloodborne,Adventure| RPG
Stray,Adventure| Indie
Yakuza 0,Adventure| Brawler| RPG| Simulator
Red Dead Redemption 2,Adventure| RPG| Shooter
Super Mario Odyssey,Adventure| Platform
Portal,Platform| Puzzle| Shooter
Grand Theft Auto V,Adventure| Shooter
Metal Gear Rising: Revengeance,Adventure| Brawler| Shooter| Strategy
Cyberpunk 2077,Adventure| RPG| Shooter
God of War Ragnarök,Adventure| Brawler
Pokémon Legends: Arceus,Adventure| RPG| Turn Based Strategy
Marvels Spider-Man,Adventure| Brawler
Disco Elysium: The Final Cut,Adventure| Indie| RPG
Dark Souls III,Adventure| RPG
Xenoblade Chronicles 3,Adventure| RPG
Super Mario 64,Adventure| Platform
Cuphead,Arcade| Indie| Platform| Shooter
Kirby and the Forgotten Land,Adventure| Platform
Super Smash Bros. Ultimate,Fighting| Platform
Sekiro: Shadows Die Twice,Adventure| Brawler
NieR Replicant ver.1.22474487139...,Adventure| RPG
Resident Evil 2,Adventure| Shooter
Final Fantasy VII,Adventure| RPG| Turn Based Strategy
Signalis,Adventure| Indie
Genshin Impact,Adventure| RPG
Persona 4 Golden,Adventure| RPG| Visual Novel
Resident Evil Village,Adventure| Shooter
Outer Wilds,Adventure| Indie| Puzzle| Simulator
Fallout: New Vegas,RPG| Shooter
Super Mario Galaxy,Adventure| Platform
Doom,Puzzle| Shooter
Stardew Valley,Indie| RPG| Simulator| Strategy
Silent Hill 2,Adventure| Puzzle
The Last of Us Part II,Adventure| Shooter
The Witcher 3: Wild Hunt,Adventure| RPG
Resident Evil 4,Shooter
Doom Eternal,Shooter
Bayonetta,Brawler| Shooter
Pizza Tower,Indie| Platform
The Elder Scrolls V: Skyrim,Adventure| RPG
Devil May Cry 5,Adventure| Brawler
The Legend of Zelda: Ocarina of Time,Adventure| RPG
Overwatch 2,Shooter
Persona 5,Adventure| RPG| Turn Based Strategy
Shin Megami Tensei V,Adventure| RPG| Turn Based Strategy
Final Fantasy VII Remake,Adventure| RPG
Neon White,Indie| Platform| Shooter| Visual Novel
Fortnite,Adventure| RPG| Shooter| Strategy
Dark Souls,Adventure| RPG
Metal Gear Solid,Adventure| Puzzle| Tactical
Vampire Survivors,Arcade| Indie| RPG
Star Wars Jedi: Fallen Order,Adventure
Sonic Frontiers,Adventure| Platform
Inscryption,Adventure| Card & Board Game| Indie| Puzzle| Strategy
BioShock,Adventure| Puzzle| RPG| Shooter
Tunic,Adventure| Indie| Puzzle| RPG
Fall Guys,Indie| Platform| Sport
BioShock Infinite,Adventure| Shooter
Marvels Spider-Man: Miles Morales,Adventure| Brawler
Yakuza: Like a Dragon,Adventure| RPG| Turn Based Strategy
It Takes Two,Adventure| Platform| Puzzle
Metroid Prime Remastered,Adventure| Platform| Shooter
Chrono Trigger,Adventure| RPG
Animal Crossing: New Horizons,Simulator
Super Mario World,Adventure| Platform
Metal Gear Solid 2: Sons of Liberty,Adventure
Death Stranding,Adventure| RPG| Shooter
The Legend of Zelda: Majoras Mask,Adventure
Resident Evil 7: Biohazard,Adventure| Puzzle| Shooter
Dark Souls: Remastered,Adventure| RPG
Super Mario Bros.,Adventure| Platform
The Last of Us,Adventure| Shooter
Terraria,Adventure| Indie| Platform| RPG| Simulator| Strategy
Castlevania: Symphony of the Night,Adventure| Platform| RPG
EarthBound,Adventure| RPG| Turn Based Strategy
Metal Gear Solid V: The Phantom Pain,Adventure| Shooter| Tactical
Half-Life 2,Shooter
Super Metroid,Adventure| Platform| Shooter
Deltarune: Chapter 2,Adventure| Indie| RPG| Turn Based Strategy
Grand Theft Auto: San Andreas,Adventure| Racing| Shooter
Mario Kart 8 Deluxe,Arcade| Racing
Devil May Cry,Brawler
Hotline Miami,Arcade| Indie| Shooter
Fire Emblem Engage,Adventure| RPG| Strategy| Tactical| Turn Based Strategy
Persona 3 FES,RPG| Simulator| Visual Novel
Overwatch,Shooter| Strategy
Fire Emblem: Three Houses,Adventure| RPG| Strategy| Tactical| Turn Based Strategy
13 Sentinels: Aegis Rim,Adventure| Simulator| Strategy| Tactical
Batman: Arkham Asylum,Adventure| Brawler
Half-Life,Adventure| Puzzle| Shooter
Mother 3,RPG| Turn Based Strategy
Super Mario Sunshine,Adventure| Platform
Pokémon Violet,Adventure| RPG| Turn Based Strategy
Xenoblade Chronicles: Definitive Edition,RPG
Left 4 Dead 2,Shooter
Batman: Arkham City,Adventure| Brawler
Psychonauts 2,Adventure| Platform
Horizon Zero Dawn,Adventure| RPG| Shooter
League of Legends,MOBA| RPG| Strategy
Control,Adventure| Shooter
Marvels Guardians of the Galaxy,Adventure| RPG| Shooter
Yakuza Kiwami,Adventure| Brawler| RPG
Danganronpa: Trigger Happy Havoc,Adventure| Point-and-Click| Visual Novel
