title,genres
Movie 1,Horror|Romance
Movie 2,Romance|Biography|Crime
Movie 3,Romance|Music
Movie 4,Romance|Documentary
Movie 5,Documentary
Movie 6,Documentary|Thriller
Movie 7,Crime
Movie 8,Adventure|Action
Movie 9,Mystery|Music
Movie 10,War
Movie 11,Sci-Fi
Movie 12,Drama|Romance|Action
Movie 13,Mystery
Movie 14,Horror|Action
Movie 15,Sport|Horror
Movie 16,Romance|War
Movie 17,War
Movie 18,Thriller|Documentary
Movie 19,Drama
Movie 20,Musical|Sci-Fi|Western
Movie 21,Action|Musical|Music
Movie 22,Animation|Sci-Fi
Movie 23,Family|Action|Comedy
Movie 24,Fantasy|Animation
Movie 25,Documentary
Movie 26,Thriller|Documentary|Biography
Movie 27,History|Horror|Romance
Movie 28,Mystery|Drama
Movie 29,Crime
Movie 30,Horror|Mystery|Adventure
Movie 31,Thriller
Movie 32,Family|Biography|Sci-Fi
Movie 33,Mystery
Movie 34,Crime
Movie 35,Documentary|Comedy
Movie 36,Horror|Crime
Movie 37,Crime|Horror|Sci-Fi
Movie 38,Western|Biography
Movie 39,Documentary|Family
Movie 40,War|Mystery|Crime
Movie 41,Romance|Thriller|Music
Movie 42,Action|Biography
Movie 43,Adventure|Horror
Movie 44,Thriller
Movie 45,Romance
Movie 46,Horror
Movie 47,Sci-Fi|Western
Movie 48,Documentary|Drama|Romance
Movie 49,Adventure|Animation|Family
Movie 50,Western|History|Biography
Movie 51,History
Movie 52,Animation
Movie 53,Sport|Biography|Animation
Movie 54,History|Musical|Adventure
Movie 55,Drama|Documentary|Family
Movie 56,Family|Sci-Fi
Movie 57,Family
Movie 58,History
Movie 59,Music
Movie 60,Musical
Movie 61,Action|Romance|Thriller
Movie 62,Mystery|Drama
Movie 63,Music|Musical
Movie 64,Biography
Movie 65,Western
Movie 66,Drama|Documentary
Movie 67,Documentary|Action|Drama
Movie 68,War
Movie 69,Horror
Movie 70,Mystery
Movie 71,Animation
Movie 72,Music|Sport|Action
Movie 73,Family
Movie 74,Sci-Fi
Movie 75,Sci-Fi|Comedy|Adventure
Movie 76,Family|Fantasy|Action
Movie 77,Animation|Western
Movie 78,Documentary|Action
Movie 79,Biography|Comedy
Movie 80,Fantasy
Movie 81,Western
Movie 82,Music|Biography|Drama
Movie 83,Crime
Movie 84,Animation|Biography|Family
Movie 85,Drama|Music|Documentary
Movie 86,Western|Mystery|Horror
Movie 87,Biography|Mystery|Drama
Movie 88,Crime
Movie 89,Western|Adventure|Drama
Movie 90,Horror|Mystery|Sport
Movie 91,Romance|Musical|Family
Movie 92,Biography|Sci-Fi
Movie 93,Music|Sci-Fi|Musical
Movie 94,Action|Crime
Movie 95,Sport
Movie 96,Drama
Movie 97,Musical|Horror
Movie 98,Crime
Movie 99,Comedy
Movie 100,Crime|Western|Sport
Movie 101,Sci-Fi|Sport|History
Movie 102,Horror|Musical
Movie 103,History|Animation
Movie 104,Family|Documentary|Animation
Movie 105,Western
Movie 106,Fantasy|Music|Action
Movie 107,Horror|Drama
Movie 108,Fantasy|Mystery
Movie 109,Biography
Movie 110,Sport
Movie 111,Horror
Movie 112,Animation|Romance
Movie 113,Animation
Movie 114,Thriller|War
Movie 115,Sport|War|Romance
Movie 116,War
Movie 117,Fantasy
Movie 118,Mystery|Crime
Movie 119,Animation
Movie 120,Thriller
Movie 121,Thriller
Movie 122,History
Movie 123,Horror|Action
Movie 124,Sci-Fi|Drama|Fantasy
Movie 125,Musical
Movie 126,Horror|Adventure|Action
Movie 127,War|Adventure|History
Movie 128,Fantasy
Movie 129,Action|History
Movie 130,History|Mystery
Movie 131,Animation|Adventure
Movie 132,Documentary|Adventure|History
Movie 133,Mystery|Adventure|Western
Movie 134,Western
Movie 135,Western|Musical|Fantasy
Movie 136,Crime
Movie 137,Horror|Crime
Movie 138,Drama|Thriller
Movie 139,Western|Mystery
Movie 140,Horror|Biography|History
Movie 141,Animation|Music
Movie 142,Fantasy|Sport|War
Movie 143,Drama
Movie 144,Adventure|Comedy
